col,row,meanE,calibFactor,countHits
0,0,10.9128908398,0.975590433163,610
1,0,11.3313185354,0.93956514136,671
2,0,10.6331543735,1.001256215,689
3,0,11.6485079176,0.913980741289,660
4,0,10.3303118915,1.03060895095,655
5,0,11.2355160102,0.947576585876,624
6,0,11.4943937698,0.926235181665,581
0,1,14.3916725716,0.73976890792,643
1,1,12.2642732784,0.868091541977,728
2,1,9.88620815526,1.07690549645,726
3,1,10.2690625383,1.03675597083,718
4,1,9.61326664215,1.10748118177,732
5,1,10.0776304741,1.05644991933,694
6,1,10.3215331441,1.03148551216,643
0,2,11.9705231957,0.889394032946,686
1,2,9.82347582212,1.08378257292,744
2,2,10.3814794164,1.02552935612,741
3,2,9.05086369482,1.17629789382,809
4,2,10.8348837909,0.982614313813,738
5,2,9.45575584145,1.12592923083,719
6,2,9.46193799982,1.12519358103,657
0,3,9.73868752924,1.09321834893,670
1,3,10.7460296102,0.990739118319,659
2,3,8.82353178606,1.20660435749,729
3,3,9.3822288002,1.1347529599,741
4,3,9.98700179098,1.06603684712,755
5,3,10.3999106243,1.02371186504,734
6,3,10.2360460979,1.04010003469,642
0,4,10.5122280831,1.01277405868,616
1,4,8.76888216706,1.21412418352,682
2,4,8.99874123114,1.18311124056,711
3,4,9.14422614283,1.1642879053,762
4,4,10.0405342707,1.06035312608,752
5,4,8.75035806255,1.21669442843,749
6,4,10.6069676581,1.00372813839,640
0,5,11.0322850227,0.965032346387,612
1,5,10.1820168696,1.04561915756,674
2,5,9.56386560517,1.11320174718,720
3,5,9.38612825979,1.13428152768,736
4,5,8.79173886065,1.21096771301,733
5,5,9.94113092505,1.07095580792,695
6,5,15.1671276662,0.701946481615,649
0,6,11.2187023983,0.948996730949,584
1,6,10.8387509772,0.982263724286,634
2,6,15.5396954793,0.685117151468,627
3,6,11.1590690401,0.954068109377,649
4,6,14.6401771214,0.727211960157,651
5,6,11.5879923224,0.918753793172,631
6,6,11.106368867,0.958595201455,611
