eventID,totalE_units,totalMIPs,energy_GeV
0,1.742743004483e+03,1.590931951570e+02,1.692353048690e+00
1,1.858762593490e+03,1.848492585197e+02,1.966333040802e+00
2,1.777072362736e+03,1.766156813302e+02,1.878748405616e+00
3,1.810596745184e+03,1.727535834688e+02,1.837665359395e+00
4,1.789594611709e+03,1.852651982368e+02,1.970757597412e+00
5,1.864324973588e+03,1.764895714051e+02,1.877406911934e+00
6,1.753749402590e+03,1.583223803432e+02,1.684153510055e+00
7,1.851643274886e+03,1.565305706287e+02,1.665093143394e+00
8,1.945912527078e+03,2.023461837652e+02,2.152456493490e+00
9,1.950955678264e+03,1.999757356770e+02,2.127240864093e+00
10,1.947804867915e+03,2.091507224232e+02,2.224839738615e+00
11,1.955991861251e+03,1.866623089182e+02,1.985619355130e+00
12,1.908205518974e+03,1.877148596515e+02,1.996815858165e+00
13,1.773788096469e+03,1.625567682217e+02,1.729196789427e+00
14,1.817580672916e+03,1.631890588573e+02,1.735922777826e+00
15,1.924224808989e+03,1.969264999136e+02,2.094804634276e+00
16,1.981068509305e+03,2.130054010245e+02,2.265843862495e+00
17,1.978867025137e+03,2.114980335515e+02,2.249809248722e+00
18,1.966705951372e+03,2.067529869085e+02,2.199333839358e+00
19,1.938220899665e+03,2.029329160337e+02,2.158697854992e+00
20,1.837276160320e+03,1.839125616562e+02,1.956368932713e+00
21,1.841084502629e+03,1.783908958793e+02,1.897632241291e+00
22,1.954094926113e+03,2.120979251465e+02,2.256190592490e+00
23,1.974035573663e+03,2.115713450305e+02,2.250589099204e+00
24,1.982463251833e+03,2.095339361235e+02,2.228916172390e+00
25,1.975193586427e+03,2.222475350169e+02,2.364157015505e+00
26,1.967524038008e+03,1.884173229679e+02,2.004288308096e+00
27,1.757610499811e+03,1.735613851085e+02,1.846258345200e+00
28,1.812126795584e+03,1.846938440195e+02,1.964679819852e+00
29,1.962599192666e+03,1.974633709707e+02,2.100515597396e+00
30,1.963681967067e+03,2.121247064798e+02,2.256475478787e+00
31,1.973406629881e+03,2.013535519576e+02,2.141897377721e+00
32,1.984487961657e+03,1.936789367573e+02,2.060258697833e+00
33,1.959392873629e+03,2.019829053326e+02,2.148592121024e+00
34,1.807274357673e+03,1.737668078619e+02,1.848443528688e+00
35,1.857553506305e+03,1.877259213459e+02,1.996933526883e+00
36,1.901953512589e+03,1.856678105367e+02,1.975040383690e+00
37,1.962374882751e+03,2.086859334624e+02,2.219895548425e+00
38,1.960148619486e+03,2.133005866859e+02,2.268983898456e+00
39,1.967073549230e+03,2.047143542911e+02,2.177647895331e+00
40,1.926301308326e+03,2.084499821490e+02,2.217385617538e+00
41,1.768581440938e+03,1.576072048465e+02,1.676545834373e+00
42,1.619522594542e+03,1.492078067648e+02,1.587197280296e+00
43,1.771921828784e+03,1.585584054403e+02,1.686664225818e+00
44,1.776196938439e+03,1.810577626323e+02,1.926001022718e+00
45,1.804212007139e+03,1.722465440563e+02,1.832271730242e+00
46,1.799168820627e+03,1.737505906497e+02,1.848271018176e+00
47,1.752742533088e+03,1.667752617538e+02,1.774070992769e+00
48,1.707609971297e+03,1.622950536480e+02,1.726412801990e+00
49,1.759234114917e+03,1.606266632936e+02,1.708665308139e+00
50,1.732311505199e+03,1.723824473987e+02,1.833717401350e+00
51,1.777613630160e+03,1.763830837434e+02,1.876274149978e+00
52,1.801812724969e+03,1.713099623317e+02,1.822308846943e+00
53,1.884540959545e+03,1.944985306957e+02,2.068977124155e+00
54,1.867510439072e+03,1.767668556974e+02,1.880356522173e+00
55,1.699196327049e+03,1.536984384861e+02,1.634966352232e+00
56,1.831433017774e+03,1.543027055601e+02,1.641394240138e+00
57,1.955547596323e+03,2.026842530110e+02,2.156052703361e+00
58,1.967034182604e+03,2.020552147595e+02,2.149361312183e+00
59,1.956878852725e+03,2.096862593188e+02,2.230536509600e+00
60,1.941898860752e+03,1.861078881752e+02,1.979721707316e+00
61,1.928853388202e+03,1.886366298189e+02,2.006621183600e+00
