col,row,meanE,calibFactor,countHits
0,0,11.0068416387,0.915733836117,590
1,0,10.0195911739,1.00596293226,628
2,0,10.0820214463,0.999733770761,602
3,0,10.6680924489,0.944811583296,590
4,0,9.52994261835,1.05764931868,638
5,0,10.6690489397,0.944726880002,605
6,0,11.1378434385,0.904963099277,575
0,1,12.1994472959,0.826212620368,615
1,1,9.50591030063,1.06032320931,679
2,1,9.73930415132,1.03491349698,656
3,1,9.20970469699,1.09442567911,691
4,1,10.6422292778,0.947107702184,660
5,1,10.1808807887,0.990026062242,670
6,1,11.0941945359,0.908523578229,612
0,2,11.3367497934,0.889085275852,636
1,2,9.67788751684,1.04148113933,681
2,2,9.23677439271,1.09121830726,684
3,2,9.33083967392,1.08021760845,702
4,2,9.433201171,1.06849595749,717
5,2,9.43425764117,1.06837630482,699
6,2,9.9589415391,1.01208921428,613
0,3,10.3590895458,0.972994515864,593
1,3,9.09385038964,1.10836850019,678
2,3,9.29090947889,1.08486013563,664
3,3,9.44257739187,1.06743497025,684
4,3,8.67735247975,1.16156827107,708
5,3,10.628201675,0.948357739682,664
6,3,10.1244422561,0.995544945821,604
0,4,9.79368507251,1.02916698288,616
1,4,10.0285107842,1.00506820347,650
2,4,9.15283949619,1.10122517953,654
3,4,9.89422563076,1.01870906259,661
4,4,10.4426594988,0.965207887755,676
5,4,9.65880624176,1.04353861803,671
6,4,10.4563271907,0.963946243603,601
0,5,9.85567666619,1.02269358652,599
1,5,10.3057300746,0.978032341663,658
2,5,9.34584715839,1.0784830039,635
3,5,9.04008938599,1.11495991765,664
4,5,9.60058036188,1.04986750149,652
5,5,9.05704292262,1.11287286629,661
6,5,11.3647632341,0.886893735464,580
0,6,10.8859586327,0.925902592273,547
1,6,11.4403118355,0.881036938701,570
2,6,9.70958897027,1.03808074144,615
3,6,10.5830228357,0.952406271234,586
4,6,10.4396358285,0.965487444482,609
5,6,10.5493704928,0.95544443379,590
6,6,10.57272854,0.95333359589,559
