eventID,totalE_units,totalMIPs,energy_GeV
0,8.779686435451e+02,7.964129214400e+01,8.471838373005e-01
1,8.447015151137e+02,8.429769817293e+01,8.967163325856e-01
2,9.558893373783e+02,9.503936087621e+01,1.010980714579e+00
3,8.766513875254e+02,8.282529834861e+01,8.810536869952e-01
4,9.016828433844e+02,9.381033535287e+01,9.979069618684e-01
5,8.450416866659e+02,7.966023295789e+01,8.473853201113e-01
6,8.977332719042e+02,8.082414339384e+01,8.597664114127e-01
7,8.927997922349e+02,7.484866300646e+01,7.962022693953e-01
8,9.505516894898e+02,9.903227537991e+01,1.053455322162e+00
9,9.718927116030e+02,9.966239834517e+01,1.060158251978e+00
10,9.379235316654e+02,9.990120560194e+01,1.062698562949e+00
11,9.645883165022e+02,9.264519921141e+01,9.855128321308e-01
12,9.706820527398e+02,9.495732288357e+01,1.010108035852e+00
13,9.029874536027e+02,8.200303283669e+01,8.723068418234e-01
14,7.565919888405e+02,6.691100223641e+01,7.117654436065e-01
15,9.648410122606e+02,9.949600585894e+01,1.058388252758e+00
16,9.787809347745e+02,1.052467675550e+02,1.119561950847e+00
17,9.907235191194e+02,1.060690045440e+02,1.128308492606e+00
18,9.797164852962e+02,1.042935072235e+02,1.109421648953e+00
19,9.703739115533e+02,1.012889197089e+02,1.077460364654e+00
20,8.514684020991e+02,8.529332886579e+01,9.073073489818e-01
21,9.219199610547e+02,8.981744504495e+01,9.554326116674e-01
22,9.758383621806e+02,1.058141929329e+02,1.125597935399e+00
23,9.731921012232e+02,1.038501374341e+02,1.104705305089e+00
24,9.776282512162e+02,1.033454341487e+02,1.099336526475e+00
25,9.930156111188e+02,1.122106532184e+02,1.193640248926e+00
26,9.051425585002e+02,8.721599265172e+01,9.277596751577e-01
27,8.853457200805e+02,8.746020960988e+01,9.303575317994e-01
28,9.124514858890e+02,9.304497752745e+01,9.897654719202e-01
29,9.703159208587e+02,9.767487504388e+01,1.039015983039e+00
30,9.752143941135e+02,1.056552125361e+02,1.123906782242e+00
31,9.816388182587e+02,9.994857768418e+01,1.063202483231e+00
