eventID,totalE_units,totalMIPs,energy_GeV
0,4.368386835132e+03,3.984248423330e+02,4.238242219792e+00
1,4.590907651601e+03,4.578961539660e+02,4.870867992707e+00
2,4.631768852393e+03,4.602016366495e+02,4.895392552946e+00
3,4.619509417162e+03,4.401343932698e+02,4.681927354268e+00
4,4.580666387466e+03,4.752566364202e+02,5.055540035903e+00
5,4.542070334900e+03,4.290423421151e+02,4.563935716918e+00
6,4.341934819964e+03,3.923462713487e+02,4.173581452078e+00
7,4.487809911530e+03,3.794302238355e+02,4.036187062805e+00
8,4.796532176086e+03,4.984748134625e+02,5.302523275278e+00
9,4.822532274799e+03,4.960196153497e+02,5.276406117927e+00
10,4.914779887813e+03,5.261167331863e+02,5.596564054773e+00
11,4.891415115327e+03,4.683174119384e+02,4.981724071017e+00
12,4.811606799364e+03,4.725679540432e+02,5.026939190887e+00
13,4.513015101799e+03,4.110129673603e+02,4.372148335301e+00
14,4.570383102954e+03,4.116583051695e+02,4.379013112941e+00
15,4.877604221435e+03,5.025665487934e+02,5.346049088906e+00
16,4.955732116462e+03,5.326152873157e+02,5.665692391043e+00
17,4.924334671022e+03,5.261869187940e+02,5.597310653816e+00
18,4.912400841172e+03,5.172441921689e+02,5.502182445141e+00
19,4.833483062867e+03,5.039057102287e+02,5.360294411815e+00
20,4.516630250138e+03,4.523908755315e+02,4.812305621556e+00
21,4.516117284560e+03,4.388153278600e+02,4.667895802727e+00
22,4.903501983717e+03,5.309369550355e+02,5.647839140007e+00
23,4.940325062593e+03,5.301872209292e+02,5.639863847291e+00
24,4.950815384334e+03,5.240530058081e+02,5.574611165356e+00
25,4.939055922637e+03,5.542440817649e+02,5.895768581224e+00
26,4.917543740994e+03,4.743274663377e+02,5.045655993908e+00
27,4.662605445181e+03,4.604451806020e+02,4.897983250493e+00
28,4.424321062376e+03,4.500916092258e+02,4.787847188004e+00
29,4.851150480757e+03,4.879720984652e+02,5.190800698284e+00
30,4.921222719226e+03,5.300717842183e+02,5.638635889870e+00
31,4.905234518070e+03,5.016539692809e+02,5.336341529015e+00
32,4.908525778131e+03,4.816607411200e+02,5.123663666848e+00
33,4.884889046571e+03,5.019163241934e+02,5.339132328053e+00
34,4.567653907846e+03,4.382022735388e+02,4.661374440525e+00
35,4.416999334321e+03,4.457094173159e+02,4.741231644006e+00
36,4.833297611335e+03,4.728231340634e+02,5.029653667045e+00
37,4.834804583737e+03,5.136377601973e+02,5.463819043514e+00
38,4.930808983168e+03,5.373043655751e+02,5.715572437012e+00
39,4.902060327044e+03,5.079582853033e+02,5.403403658415e+00
40,4.800072075906e+03,5.186615367383e+02,5.517259440739e+00
41,4.588677202787e+03,4.126577224107e+02,4.389644408726e+00
42,4.157560498678e+03,3.834178982820e+02,4.078605929308e+00
